texto,rotulo
"Queremos e devemos atuar em conjunto com todas as forças da esquerda, da centro-esquerda e do campo democrático, num exercício cotidiano de resistência.",esquerda
"O PT nasceu na oposição, para defender a democracia e os direitos do povo, em tempos ainda mais difíceis que os de hoje. É isso que temos de voltar a fazer agora, com o respaldo dos nossos 47 milhões de votos, com a responsabilidade de sermos o maior partido político do país.",esquerda
"O povo brasileiro nos deu a missão de manter acesa a chama da esperança, o que significa a defesa da democracia, do patrimônio nacional, dos direitos dos trabalhadores e do povo que mais precisa.",esquerda
"Se há divergências entre nós, vamos enfrentá-las por meio do debate, do argumento, do voto. Não temos o direito de abandonar o pacto social da Constituição de 1988. Não podemos deixar que o desespero leve o Brasil na direção de uma aventura fascista.",esquerda
"Neste momento em que uma ameaça fascista paira sobre o Brasil, quero chamar todos e todas que defendem a democracia a se juntar ao nosso povo mais sofrido, aos trabalhadores da cidade e do campo, à sociedade civil organizada, para defender o estado democrático de direito.",esquerda
"Tenho muito orgulho do legado que deixamos para o país, especialmente do compromisso com a democracia. Nosso partido nasceu na resistência à ditadura e na luta pela redemocratização do país, que tanto sacrifício, tanto sangue e tantas vidas nos custou.",esquerda
"Talvez odeiem o PT porque nunca antes o Brasil foi tão respeitado, com uma política externa que não falava grosso com a Bolívia nem falava fino com os EUA. Um país que foi reconhecido internacionalmente por ter promovido uma vida melhor para seu povo em absoluta democracia.",esquerda
Será que nos odeiam porque promovemos o diálogo e a participação social na definição e implantação de políticas públicas pela primeira vez neste país? Será que odeiam o PT porque jamais interferimos na liberdade de imprensa e de expressão?,esquerda
"Será que odeiam o PT porque abrimos as portas do Palácio do Planalto aos pobres, aos negros, às mulheres, ao povo LGBTI, aos sem-teto, aos sem-terra, aos hansenianos, aos quilombolas, a todos e todas que foram discriminados e esquecidos ao longo de séculos?",esquerda
"Ou talvez porque realizamos o sonho da casa própria para 3 milhões de famílias em todo o país, cumprindo uma obrigação que os governos anteriores nunca assumiram.",esquerda
"Talvez odeiem o PT porque fizemos uma revolução silenciosa no Nordeste, levando água para quem sofria com a seca, levando luz para quem vivia nas trevas, levando oportunidades, estaleiros, refinarias e indústrias para a região.",esquerda
"Talvez nos odeiem porque investimos na exploração do pré-sal e transformamos a Petrobrás numa das maiores petrolíferas do mundo, impulsionando nossa indústria naval e a cadeia produtiva do óleo e gás.",esquerda
"Talvez nos odeiem porque promovemos o maior ciclo de desenvolvimento econômico com inclusão social, porque multiplicamos o PIB por 5, porque multiplicamos o comércio exterior por 4.",esquerda
"Ou será que nos odeiam porque abrimos as portas da Universidade para quase 4 milhões de alunos de escolas públicas, de negros e indígenas?",esquerda
"Porque criamos 20 milhões de empregos com carteira assinada, em 12 anos, e elevamos o valor do salário mínimo em 74%? Será que nos odeiam porque fortalecemos o SUS, criamos as UPAS e o SAMU que salvam milhares de vidas todos os dias?",esquerda
"Mas fico pensando, todos os dias: por que tanto ódio contra o PT? Será que nos odeiam porque tiramos 36 milhões de pessoas da miséria e levamos mais de 40 milhões à classe média? Porque tiramos o Brasil do Mapa da Fome?",esquerda
"O povo sabe e a história vai registrar o que fizemos para vencer a fome, superar a miséria, gerar empregos, valorizar o salário, criar oportunidades, abrir escolas e universidades para os jovens, defender a soberania nacional e fazer do Brasil um país respeitado em todo o mundo.",esquerda
Foi pelo caminho do diálogo e pelo despertar da consciência cidadã que chegamos à Presidência da República em 2002 para transformar o país.,esquerda
"Por mais de 40 anos percorri este país buscando acender a esperança no coração do nosso povo. Sempre enfrentamos o preconceito, a mentira e até a violência, e, mesmo assim, conseguimos construir uma profunda relação de confiança com os trabalhadores, com as pessoas mais humildes.",esquerda
"Trabalho e educação são a resposta para o Brasil retomar seu rumo, e não há ninguém melhor para falar sobre o tema do que o melhor ministro da educação que o país já teve",esquerda
"Só existe desenvolvimento com valorização do trabalho e, portanto, é impensável um Brasil desenvolvido sem a garantia dos direitos sociais assegurados pela CLT e pela Constituição de 1988",esquerda
"Nada ameaça e destrói mais uma família do que a falta de esperança, de oportunidades, de um bom futuro para os filhos. Foi por isso que nós cuidamos tanto da educação, desde a creche até o ensino superior.",esquerda
"Foi por isso que nós geramos 22 milhões de empregos com carteira assinada, criamos o Bolsa Família e fizemos o Minha Casa, Minha Vida.",esquerda
"Nossos adversários dizem que defendem a família. Mas nada ameaça e destrói mais uma família do que o desemprego, a falta do que comer, a falta de condições dignas de moradia.",esquerda
"Agora, nossos adversários falam em acabar com o 13º. Falam mal até daquele dinheirinho extra que o trabalhador recebe quando sai de férias.",esquerda
"No governo Lula as pessoas tinham emprego, tinham salários que subiam acima da inflação. Quando chegava o fim do ano, as mães e os pais trabalhadores recebiam o 13º salário e podiam comprar presentes para os filhos e viajar de avião com suas famílias.",esquerda
"As mães e avós que cuidam sozinhas de seus filhos e netos tiveram todo o apoio e o respeito do meu governo, e puderam criar suas famílias da forma mais saudável possível.",esquerda
"As mães de família foram as principais beneficiadas. Tiveram direito ao Bolsa Família, tiveram acesso ao pré-natal e ao parto mais seguro. Puderam vacinar, alimentar e cuidar melhor da saúde de seus filhos.",esquerda
"Governei para todos os brasileiros, olhando com mais atenção para quem mais precisava. A religião foi respeitada. A dignidade humana foi respeitada. A família foi mais do que respeitada: ela foi reforçada e cuidada com especial carinho pelo meu governo.",esquerda
"Nós não vamos nos deixar intimidar por nenhum projeto de ditador. Nós somos democratas, nós não somos covardes",esquerda
O que está em jogo no segundo turno dessas eleições não é apenas a disputa entre dois candidatos. É a disputa entre os valores democráticos e a ditadura,esquerda
Tem duas palavras mágicas que tiram o país da crise: trabalho e educação,esquerda
"Nós não queremos o país do desemprego, nós não queremos o país que acaba com as políticas públicas, nós não queremos o país da mortalidade infantil, nós queremos o país da educação.",esquerda
"Eles só pensam em vender. Nos anos 90 era assim. Você piscava, alguma estatal era vendida. Nós não queremos vender nada, queremos construir coisas novas",esquerda
"Nossa linha de campanha é de propostas e não de ataques. O Brasil quer paz e democracia. Não quer ditadura, que discutir direitos, trabalho, educação. O país quer olhar para o futuro, discutir o que fazer para sair da crise",esquerda
O que eu vejo de mais grave em relação ao Bolsa Família são os cortes que estão sendo feitos sem critério. Nós tínhamos critérios de condicionalidade baseados em frequência escolar e vacinação que sempre foram eficazes,esquerda
"Nós temos uma proposta de incluir alimentos orgânicos nas escolas, sem agrotóxico, como fizemos em São Paulo",esquerda
"Nós queremos apresentar ao Brasil propostas com serenidade. É disso que o Brasil precisa: serenidade. Ouvir a população, ouvir os movimentos populares e os empresários, buscando o desenvolvimento com inclusão",esquerda
"Queremos que os consumidores nos ajudem, consumindo produtos de empresas comprometidas com as mulheres",esquerda
"Nós temos muitas tarefas. Uma delas é buscar a igualdade no mercado de trabalho e isso é papel do Estado, sim. Temos que estimular para que essa igualdade aconteça na prática” - , durante o ato Primavera das Mulheres em São Paulo",esquerda
O desenvolvimento do Brasil passa pela revogação da reforma trabalhista e isso interfere diretamente na vida das mulheres,esquerda
"E o nosso projeto é a Primavera das Mulheres porque não tem projeto de desenvolvimento sem que as mulheres sejam centrais, se não houver salário igual para trabalho igual. Não há desenvolvimento se houver a PEC do Teto",esquerda
"A nossa campanha representa as candidaturas das mulheres, porque somos o time das brasileiras. Porque temos um projeto de país que liberta as mulheres e o povo brasileiro",esquerda
Nossa proposta de reforma reduz drasticamente o número de impostos sem aumentar a carga tributária. Vamos cobrar mais de quem ganha mais e menos de quem ganha menos,esquerda
"Nós precisamos rever toda política de segurança pública, investir nas polícias, mas reduzir criminalidade significa investir em educação, ciência e tecnologia",esquerda
"Não há como gerar emprego sem democracia, não há como matar a fome das pessoas sem democracia, não há como garantir educação de qualidade sem democracia.",esquerda
"Nós vamos nos associar a todos os movimentos sociais, a todos movimentos populares e a todo movimento institucional, seja de que instituição for, para o fortalecimento da democracia no Brasil",esquerda
Nós queremos cultivar um ambiente de paz com dois focos: trabalho e educação,esquerda
Nós não podemos tentar resolver os problemas do país no autoritarismo e na violência. Democracia deve ser celebrada todo o tempo,esquerda
"Se a mulher cria os filhos sozinha, ela vai receber mais atenção nossa e não menos. Se a avó cria os netos sozinha, ela vai receber mais carinho. Nós não queremos mais intolerância",esquerda
"Nós nunca deixamos nenhum brasileiro para trás, nem mesmo nossos adversários",esquerda
Ninguém impede o povo brasileiro. O povo é soberano,esquerda
É o povo que vai libertar o Brasil de seus algozes,esquerda
Quanto menos os pobres pagarem impostos mais eles vão consumir e o empresário vai poder contratar,esquerda
"A universidade pública mudou completamente, hoje você vai a uma universidade pública e encontra mulheres, encontra negros e encontra trabalhadores",esquerda
Quando você impõe a mesma alíquota para ricos e pobres você penaliza muito mais o pobre,esquerda
"Todo mundo que promove a violência contra a mulher, contra o negro, contra a população LGBT, nós não apoiamos",esquerda
Não tem nada mais revolucionário na vida de uma pessoa do que oportunidade: de trabalho e de se educar,esquerda
"Eu tenho a perspectiva de fazer um governo aberto, que dialogue com a juventude, com as novas formas de governança",esquerda
Nós queremos outras vozes sendo ouvidas para que o brasileiro possa formar sua opinião livremente,esquerda
Só a produção gera emprego. Especulação não gera emprego e as pessoas estão vivendo de especulação,esquerda
"Precisamos de uma agenda que não penalize os mais pobres, que não jogue tudo no colo do trabalhador",esquerda
"Nós queremos construir um país de paz e harmonia, voltado para os trabalhadores e trabalhadoras com foco em trabalho e educação",esquerda
Chamar os pobres para pagar a conta da crise não é razoável,esquerda
É importante a vinda das agências internacionais em língua portuguesa. Isso aumenta a diversidade! Quem tem medo de diversidade? Nós não,esquerda
"O que eles querem é que o nosso projeto não volte a Brasília porque nosso projeto significa inclusão, significa geração de renda, significa dignidade aos estudantes. Nós não vamos abrir mão desse projeto",esquerda
"É preciso resgatar o que a gente fazia de bom pelo povo: emprego, educação e oportunidade. É isso o que o povo quer",esquerda
O Minha Casa Minha Vida está parado e nós precisamos retomar. Obra gera emprego,esquerda
"Com a adesão ao programa, as universidades passaram a contar com volume inédito de recursos para investir na produção de conhecimento. Em troca, ampliaram o número de vagas e criaram cursos noturnos, entre outras ações que ajudaram a reduzir desigualdades sociais históricas.",esquerda
"Houve um tempo em que as universidades federais não tinham verba para sequer pagar a conta de luz ou comprar papel higiênico. Com a chegada de Lula à Presidência, esse quadro mudou.",esquerda
"Quem desmatar vai pagar imposto progressivo até reflorestar. Não precisamos de desmatamento para produção agropecuária, a área destinada a isso já atende à demanda nacional e internacional",esquerda
"Nós temos que retomar investimentos em infraestrutura. Precisamos gerar emprego, diminuindo o IR a zero para quem ganha até 5 salários mínimos, fazendo o mercado de consumo aquecer e, assim, gerar empregos",esquerda
"Muitas vezes, o jovem do interior não entra em uma universidade ou Instituto Federal porque não consegue se manter na capital. Se a universidade está perto, o jovem vai. O Estado precisa oferecer a oportunidade",esquerda
O bilionário não paga imposto no Brasil. Só tem dois países no mundo que não cobram imposto de quem recebe dividendos e o Brasil é um deles. Precisamos rever isso.,esquerda
Quando uma pessoa pobre tem oportunidade ela impacta a vida da comunidade inteira. O papel do governo é criar as condições.,esquerda
As pesquisas mostram um desalento na população brasileira e muitos até desistindo da busca por um emprego formal. Mas nós já provamos ser possível gerar empregos melhorando inclusive as condições de trabalho.,esquerda
A democracia significa direitos iguais de todos e todas. A fome e a pobreza voltaram ao Brasil e isso o preocupa,esquerda
Sou da geração que lutou contra a ditadura e reconquistou a democracia. Nós estamos reunidos aqui hoje com os partidos da resistência,esquerda
"Agora Bolsonaro amplia o desastre iniciado pelos golpistas, ao esvaziar o MCMV. Enquanto brinca no twitter, disseminando intolerância, radicaliza a agenda neoliberal e joga a economia no fundo do poço. Quem nega a milhões de pessoas o acesso a um lar, não é a favor da família",esquerda
"As ""fake news""dos bolsominions continuam. Esclareço que o decreto que assinei em 2016 tinha como objetivo básico ajudar as vítimas da tragédia de Mariana a receber o dinheiro do FGTS. Equiparava o rompimento de barragens a desastres naturais apenas para efeito de saque do FGTS.",esquerda
"Desde que assumiu, o governo Bolsonaro atrasa o pagamento das construtoras, sobretudo as de pequeno e médio porte. A dívida já chega a R$ 450 milhões e as obras começam a parar em todo o país, principalmente para a Faixa 1, que beneficia famílias com renda de até R$ 1.800,00",esquerda
"Maior programa habitacional da história, o Minha Casa Minha Vida foi lançado em 2009 no Governo Lula e sua maior execução ocorreu no meu governo. Responsável pela contratação de mais de 5,5 milhões de moradias, 74% já entregues, o MCMV completa 10 anos ameaçado de extinção",esquerda
"Os 2 deputados tumultuam para impedir a comissão de funcionar e querem destituir Beatriz, que foi eleita com 90 mil votos e representa a classe dos professores de Minas. Mas o machismo e o autoritarismo não irão prevalecer. Basta de covardia e abuso contra as mulheres!",esquerda
"As construtoras informam que, com a paralisação das obras, 50 mil trabalhadores serão demitidos em 10 dias. No meu governo, o programa chegou a empregar 3,4 milhões de pessoas e foi responsável por 2/3 do mercado da construção civil, um dos mais dinâmicos da economia",esquerda
"O MCMV vem sendo desvirtuado desde o golpe de 2016, quando reduziram a contratação de moradias para famílias da Faixa 1. Nos governos do PT, 50% das obras eram destinadas a essas pessoas. Com Temer, as contratações para da Faixa 1 foram reduzidas para absurdos 12%",esquerda
"O governo Bolsonaro põe em risco a própria existência do MCMV, por descaso e falta de compromisso com as famílias brasileiras que mais precisam da casa própria para criar seus filhos e filhas em segurança. Não precisam de armas de fogo, mas da proteção de um lar",esquerda
"A reforma da previdência apresentada é 1 afronta. E impõe pesadas perdas aos mais pobres. Os + prejudicados são os que ganham menos, os que têm expectativa de vida + baixa, entram no mercado + cedo e em profissões que exigem + esforço físico",esquerda
"Todo o apoio à deputada Beatriz Cerqueira (PT), presidente da Comissão de Educação da ALMG, que está sendo sabotada pelo machismo de deputados do PSL e do Novo. O Coronel Sandro, do PSL, chegou a mandar Beatriz calar a boca, numa reunião",esquerda
" Se a condenação no 1º processo tinha por objetivo impedir a candidatura de Lula à presidência, agora a intenção é retirá-lo definitivamente da vida política. Na prática, as duas condenações somadas tentam lhe impor uma prisão perpétua.",esquerda
"Afirmar que as mortes de Marielle e Anderson podem ter sido “crime de ódio”, como disseram os investigadores, é como admitir que 2 dos maiores matadores de aluguel do Rio são suscetíveis a sentimentos pessoais em relação às suas vítimas.",esquerda
"O Golpe de 64: Na ditadura, a oposição foi atacada com toda a violência do Estado: 434 pessoas foram assassinadas, de acordo com a Comissão da Verdade. Entre essas, 212 ainda estão desaparecidas. As famílias jamais encontraram os corpos.",esquerda
" Confirma os temores do deputado Jean Wyllys o fato de o Presidente da República comemorar sua decisão. É terrível que uma autoridade defenda milícias, é estarrecedor que um candidato tenha ameaçado seus opositores com exílio e prisão.",esquerda
O porte de armas irrestrito e amplamente liberado a toda população vai dar instrumento para que o assassinato massivo se torne endêmico e cotidiano. A lei anticrime do minisro Moro é o encontro marcado com tragédias como a de Suzano,esquerda
"Tratamos as vítimas de rompimento de barragens como vítimas de desastres naturais para que aquelas pudessem receber com presteza o dinheiro do FGTS. Os bolsominions parecem não saber o que é uma questão humanitária, nem sua urgência.",esquerda
"O Golpe de 64: Segundo a Comissão da Verdade, mais de 300 pessoas, entre militares, agentes e até mesmo ex-presidentes, foram responsabilizadas por detenções ilegais e de tortura, execuções, desaparecimentos e ocultação de cadáveres.",esquerda
"O Golpe de 64: No auge da ditadura, estudantes e ativistas lutaram contra o regime militar. Um foi Stuart Angel Jones, assassinado em 1971, aos 24 anos, depois de ser brutalmente torturado por agentes do Cisa. Está “desaparecido”.",esquerda
"O Golpe de 64: Na ditadura, muitas famílias jamais conseguiram informações sobre o paradeiro dos filhos. Foi o caso da estilista Zuzu Angel. O filho Stuart Angel foi assassinado pelo Estado em 1971. Zuzu foi assassinada em 1976.",esquerda
"Marielle não foi morta porque os atiradores não gostavam dela. Alguém os contratou para matá-la. O crime só estará realmente esclarecido quando os mandantes forem presos. Até lá, eles estão livres para alugar outros matadores.",esquerda
"ATOS EM DEFESA DA LIBERDADE DE LULA Hoje, acontecem, em Curitiba (PR) e São Paulo, atos em defesa da liberdade do ex-presidente. Outros atos também estão previstos nas cidades de Cuiabá e Porto Alegre. PARTICIPEM!",esquerda
"O absurdo estarrecedor é que, neste trágico dia em que assistimos à morte de 10 pessoas e o ferimento de outras 9, o Presidente da República tenha o desplante de anunciar uma lei propondo maior acesso a armas.",esquerda
"LULA, HERÓI DA CLASSE TRABALHADORA Um homem perseguido. Um processo sem provas. Um julgamento parcial. Um preso político.",esquerda
" Cotado para o Prêmio Nobel da Paz, Lula tem sua cidadania interditada e seus direitos básicos suprimidos. Mas as condenações, maculadas por erros flagrantes, não farão com que se dobre aos seus algozes.",esquerda
" A derrubada do decreto que desfigurava a Lei de Acesso à Informação, criada por Lula e sancionada por mim em 2012, preserva o dever de transparência do estado e o direito do povo à informação pública.",esquerda
" O deputado Jean Wyllys, defensor dos direitos humanos – das mulheres, dos homossexuais e LGBTIs, da população negra e do povo trabalhador de nosso país – renunciou ao seu mandato e vai exilar-se.",esquerda
"Amanhã, dia 8 de março, Dia Internacional da Mulher, estaremos tratando das políticas para mulheres nos governos do PT, em um bate-papo na TV . Acompanhe nas nossas redes sociais, a partir das 14h.",esquerda
"O Golpe de 64: Na ditadura, reuniões eram proibidas e votar pra prefeito, governador e presidente também. Repressão e brutalidade eram palavras de ordem. O ódio era semeado contra os opositores.",esquerda
"Mas é inadmissível que um Presidente possa se orgulhar ou comemorar algum desses fatos. Sua missão é respeitar a Constituição, defender a democracia, honrar seu país e dignificar seu cargo.",esquerda
"NÃO HÁ DEMOCRACIA SEM #LULALIVRE O maior líder popular do Brasil continua no cárcere, e é um preso político. ",esquerda
"De todos as combatentes que denunciaram assassinatos e abusos cometidos pela ditadura militar, durante os anos de chumbo, a figura de Eunice Paiva é uma daquelas que permanecem para sempre vivas e cheias de força em nossos corações.",esquerda
"Adotada pela ONU em 10 de dezembro de 1948, a Declaração Universal dos Direitos Humanos (DUDH) faz 70 anos hoje. Continua atual, continua necessária e, infelizmente, continua sendo desrespeitada, inclusive no Brasil.",esquerda
"Se a DUDH fosse respeitada, capangas encapuzados não teriam assassinado a tiros dois militantes do MST, há dois dias, num acampamento de trabalhadores sem-terra no interior da Paraíba.",esquerda
"Se a DUDH fosse cumprida, o presidente que assume dia 1º não teria anunciado que vai tratar o MST e o MTST como grupos terroristas. e nem teria dito isto: “Àqueles que me questionam se eu quero que mate esses vagabundos, eu quero, sim”.",esquerda
"Se a DUDH fosse obedecida, o maior líder popular do nosso país, Lula, não estaria preso e isolado há quase oito meses, sem culpa provada e em desrespeito a uma determinação da ONU, apenas para ser afastado da eleição, da política, da sua cidadania e da sua família",esquerda
"Se a DUDH fosse acatada, Temer não teria permitido que, no ano passado, 1,7 milhão de brasileiros voltassem à pobreza extrema, retrocesso que deve levar o Brasil de volta ao Mapa da Fome da ONU, do qual havia sido retirado no meu governo.",esquerda
"Se a DUDH fosse seguida, o assassinato de Marielle Franco e Anderson Gomes não teria ocorrido e não estaria completando 9 meses sem que seus autores e mandantes tivessem sido presos. Por tudo isto, a adoção da Declaração Universal dos Direitos Humanos ainda depende da nossa luta",esquerda
"Criado por Lula, em 2003, e instituído como data nacional no meu governo, em 2011, o Dia Nacional da Consciência Negra é mais do que uma data para lembrar o herói Zumbi dos Palmares. É dia de reflexão sobre as sequelas ainda vivas e dolorosas de 300 anos de escravidão",esquerda
"Nada foi mais violento, desumano e definidor da sociedade brasileira do que 3 séculos de exploração do trabalho escravo. Por isto, para os brasileiros, o Dia da Consciência Negra deve ser dia de celebração da luta dos excluídos  por liberdade e por direitos",esquerda
"Neste dia, saúdo mulheres negras que lutaram contra a escravidão, como Zacimba Gaba, Dandara dos Palmares, Maria Felipa de Oliveira... E presto tributo a Marielle Franco, me solidarizando com as milhões de mulheres negras que sofrem preconceito e violência",esquerda
"A participação política das mulheres em todas as esferas de poder é  fundamental no século XXI. Dá conteúdo à democracia e permite reverter o crescimento da desigualdade social, de gênero e racial. No Brasil, no contigente dos excluídos, estão sobretudo  mulheres negras.",esquerda
"A expressiva  participação das mulheres no Congresso dos EUA deve ser saudada tanto por sua diversidade como tamanho relativo. Foram eleitas, pela primeira vez,   mulheres  mulçumanas, negras, indígenas, de origem espânica. Eleitas governadoras em vários estados.",esquerda
"O Brasil não crescerá sem democracia. Vamos marchar juntos contra os monstros do ódio, do atraso e da violência!",esquerda
"O q ocorre em Minas, e certamente em todo o país, tem, pela covardia, características de um massacre, cometido por homens misóginos e machistas, que não sabem respeitar sequer o direito da mulher à vida. Às mulheres, resta se unir, denunciar e buscar ajuda contra seus agressores.",esquerda
"Antes da Lei do Femicídio, @LulaOficial havia criado a Lei Maria da Penha, que tornou crime a agressão às mulheres. No nosso governo, criamos a Casa da Mulher Brasileira, que acolhia, oferecia proteção e apoio jurídico, c/ varas especializadas, às mulheres agredidas ou ameaçadas.",esquerda
"Nós, mulheres, devemos nos mobilizar para fazer valer a letra da lei.",esquerda
"A lei do Feminicídio, assinada em 8 de março de 2015, no meu governo, tornou crime inafiançável o assassinato de mulheres, assegurando que o assassino não poderia se safar da justiça. Até então, alegava-se crime de honra e, na maioria das vezes, a impunidade era a regra.",esquerda
"Os dados, do TJMG, são chocantes: nos primeiros seis meses do ano houve 68.121 agressões a mulheres em Minas. Um número espantoso, que chega a ser 7 vezes maior que o de acidentes de carro. E o volume de agressões é bem maior, já que muitas mulheres não vão à polícia.",esquerda
"A notícia de que entre janeiro e junho deste ano uma mulher foi assassinada por dia em Minas, divulgada em relevante reportagem do jornal @OTempo, exige de todas nós uma tomada de posição firme contra este verdadeiro feminicídio.",esquerda
"Repudiamos o preconceito de quem é indiferente ao amor verdadeiro de milhões de mulheres, mães e avós. Meu respeito e admiração a todas elas.",esquerda
"Ainda não estamos satisfeitos. Queremos mais empregos para os brasileiros! A corrupção de governos anteriores jogaram o nosso país na lama e muitas pessoas ainda sentem as consequências desse mal, mas estamos determinados a mudar de vez os rumos do nosso Brasil!",direita
"Desde Janeiro estamos crescendo. Para comparar, em relação a Fevereiro do ano passado o saldo de novos empregos foi quase 3 vezes maior. Desconfiem de quem só quer causar o caos e a desordem. O Brasil está acima de interesses pessoais. Bom fim de semana a todos! Vamos em frente!",direita
"Cidadãos de vários estados brasileiros passaram sufoco nos últimos anos pela falta de pagamento de suas aposentadorias. Se permanecermos no atual sistema, a tendência é que isso se repita em escala nacional. Caos total! É fato! Por isso que se faz necessária a Nova Previdência!",direita
"Brasil criou cerca de 211.000 novas vagas de trabalho com carteira assinada nos dois primeiros meses do ano. A visão liberal de nosso governo passa confiança à economia real, e os empresários começaram a contratar mais.",direita
"Por anos denunciei a proteção dada ao terrorista, aqui tratado como exilado político. Nas eleições, firmei o compromisso de mandá-lo de volta à Itália para que pagasse por seus crimes. A nova posição do Brasil é um recado ao mundo: não seremos mais o paraíso de bandidos!",direita
"No Brasil as concessões visam combater a corrupção e mudar a economia. Para tal, temos que tirar do Estado o que puder para ser administrado pelo setor privado.",direita
No Brasil as privatizações visam o combate à corrupção bem como a geração de renda e empregos. Seguimos o prometido durante a campanha: tirar do Estado tudo o que puder ser administrado pela iniciativa privada.,direita
"Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atingiu hoje mais uma marca histórica. As expectativas geradas pelas ações do governo são as melhores e notícias positivas só aparecem. BRASIL ACIMA DE TUDO",direita
Nosso objetivo é claro: queremos o Brasil entre as economias mais livres do mundo!,direita
"Importante lembrar que na última semana foi publicado também o decreto 9725/2019, que extingue 21.000 cargos comissionados, funções e gratificações do Poder Executivo. Seguimos com o objetivo de enxugar e otimizar a máquina pública. O exemplo vem de casa!",direita
Brasil e Estados Unidos juntos assustam os defensores do atraso e da tirania ao redor do mundo. Os quem tem medo de parcerias com um país livre e próspero? É o que viemos buscar!,direita
"Pela primeira vez em muito tempo, um Presidente brasileiro que não é anti-americano chega a Washington. É o começo de uma parceria pela liberdade e prosperidade, como os brasileiros sempre desejaram.",direita
"A ideia é reduzir esforços de pesca, aumentar o turismo de mergulho e pesca esportiva e criar novos recifes com embarcações naufragadas como já é feito no mundo todo gerando um ambiente de consciência, preservação e empregabilidade natural.",direita
