texto,rotulo,texto_limpo
Foi pelo caminho do diálogo e pelo despertar da consciência cidadã que chegamos à Presidência da República em 2002 para transformar o país.,esquerda,caminho diálogo despertar consciência cidadã chegamos presidência república transformar país
"Por mais de 40 anos percorri este país buscando acender a esperança no coração do nosso povo. Sempre enfrentamos o preconceito, a mentira e até a violência, e, mesmo assim, conseguimos construir uma profunda relação de confiança com os trabalhadores, com as pessoas mais humildes.",esquerda,anos percorri país buscando acender esperança coração povo sempre enfrentamos preconceito mentira violência assim conseguimos construir profunda relação confiança trabalhadores pessoas humildes
"Trabalho e educação são a resposta para o Brasil retomar seu rumo, e não há ninguém melhor para falar sobre o tema do que o melhor ministro da educação que o país já teve",esquerda,trabalho educação resposta brasil retomar rumo ninguém melhor falar sobre tema melhor ministro educação país
"Só existe desenvolvimento com valorização do trabalho e, portanto, é impensável um Brasil desenvolvido sem a garantia dos direitos sociais assegurados pela CLT e pela Constituição de 1988",esquerda,existe desenvolvimento valorização trabalho portanto impensável brasil desenvolvido garantia direitos sociais assegurados clt constituição
"Nada ameaça e destrói mais uma família do que a falta de esperança, de oportunidades, de um bom futuro para os filhos. Foi por isso que nós cuidamos tanto da educação, desde a creche até o ensino superior.",esquerda,nada ameaça destrói família falta esperança oportunidades bom futuro filhos cuidamos tanto educação desde creche ensino superior
"Foi por isso que nós geramos 22 milhões de empregos com carteira assinada, criamos o Bolsa Família e fizemos o Minha Casa, Minha Vida.",esquerda,geramos milhões empregos carteira assinada criamos bolsa família fizemos casa vida
"Nossos adversários dizem que defendem a família. Mas nada ameaça e destrói mais uma família do que o desemprego, a falta do que comer, a falta de condições dignas de moradia.",esquerda,adversários dizem defendem família nada ameaça destrói família desemprego falta comer falta condições dignas moradia
"Agora, nossos adversários falam em acabar com o 13º. Falam mal até daquele dinheirinho extra que o trabalhador recebe quando sai de férias.",esquerda,agora adversários falam acabar º falam mal daquele dinheirinho extra trabalhador recebe sai férias
"No governo Lula as pessoas tinham emprego, tinham salários que subiam acima da inflação. Quando chegava o fim do ano, as mães e os pais trabalhadores recebiam o 13º salário e podiam comprar presentes para os filhos e viajar de avião com suas famílias.",esquerda,governo lula pessoas emprego salários subiam acima inflação chegava fim ano mães pais trabalhadores recebiam º salário podiam comprar presentes filhos viajar avião famílias
"As mães e avós que cuidam sozinhas de seus filhos e netos tiveram todo o apoio e o respeito do meu governo, e puderam criar suas famílias da forma mais saudável possível.",esquerda,mães avós cuidam sozinhas filhos netos todo apoio respeito governo puderam criar famílias forma saudável possível
"As mães de família foram as principais beneficiadas. Tiveram direito ao Bolsa Família, tiveram acesso ao pré-natal e ao parto mais seguro. Puderam vacinar, alimentar e cuidar melhor da saúde de seus filhos.",esquerda,mães família principais beneficiadas direito bolsa família acesso pré natal parto seguro puderam vacinar alimentar cuidar melhor saúde filhos
"Governei para todos os brasileiros, olhando com mais atenção para quem mais precisava. A religião foi respeitada. A dignidade humana foi respeitada. A família foi mais do que respeitada: ela foi reforçada e cuidada com especial carinho pelo meu governo.",esquerda,governei todos brasileiros olhando atenção precisava religião respeitada dignidade humana respeitada família respeitada reforçada cuidada especial carinho governo
"Nós não vamos nos deixar intimidar por nenhum projeto de ditador. Nós somos democratas, nós não somos covardes",esquerda,vamos deixar intimidar nenhum projeto ditador democratas covardes
O que está em jogo no segundo turno dessas eleições não é apenas a disputa entre dois candidatos. É a disputa entre os valores democráticos e a ditadura,esquerda,jogo segundo turno dessas eleições apenas disputa dois candidatos disputa valores democráticos ditadura
Tem duas palavras mágicas que tiram o país da crise: trabalho e educação,esquerda,duas palavras mágicas tiram país crise trabalho educação
"Nós não queremos o país do desemprego, nós não queremos o país que acaba com as políticas públicas, nós não queremos o país da mortalidade infantil, nós queremos o país da educação.",esquerda,queremos país desemprego queremos país acaba políticas públicas queremos país mortalidade infantil queremos país educação
"Eles só pensam em vender. Nos anos 90 era assim. Você piscava, alguma estatal era vendida. Nós não queremos vender nada, queremos construir coisas novas",esquerda,pensam vender anos assim piscava alguma estatal vendida queremos vender nada queremos construir coisas novas
"Nossa linha de campanha é de propostas e não de ataques. O Brasil quer paz e democracia. Não quer ditadura, que discutir direitos, trabalho, educação. O país quer olhar para o futuro, discutir o que fazer para sair da crise",esquerda,linha campanha propostas ataques brasil quer paz democracia quer ditadura discutir direitos trabalho educação país quer olhar futuro discutir fazer sair crise
O que eu vejo de mais grave em relação ao Bolsa Família são os cortes que estão sendo feitos sem critério. Nós tínhamos critérios de condicionalidade baseados em frequência escolar e vacinação que sempre foram eficazes,esquerda,vejo grave relação bolsa família cortes sendo feitos critério critérios condicionalidade baseados frequência escolar vacinação sempre eficazes
"Nós temos uma proposta de incluir alimentos orgânicos nas escolas, sem agrotóxico, como fizemos em São Paulo",esquerda,proposta incluir alimentos orgânicos escolas agrotóxico fizemos paulo
"Nós queremos apresentar ao Brasil propostas com serenidade. É disso que o Brasil precisa: serenidade. Ouvir a população, ouvir os movimentos populares e os empresários, buscando o desenvolvimento com inclusão",esquerda,queremos apresentar brasil propostas serenidade disso brasil precisa serenidade ouvir população ouvir movimentos populares empresários buscando desenvolvimento inclusão
"Queremos que os consumidores nos ajudem, consumindo produtos de empresas comprometidas com as mulheres",esquerda,queremos consumidores ajudem consumindo produtos empresas comprometidas mulheres
"Nós temos muitas tarefas. Uma delas é buscar a igualdade no mercado de trabalho e isso é papel do Estado, sim. Temos que estimular para que essa igualdade aconteça na prática” - , durante o ato Primavera das Mulheres em São Paulo",esquerda,muitas tarefas buscar igualdade mercado trabalho papel estado sim estimular igualdade aconteça prática” durante ato primavera mulheres paulo
O desenvolvimento do Brasil passa pela revogação da reforma trabalhista e isso interfere diretamente na vida das mulheres,esquerda,desenvolvimento brasil passa revogação reforma trabalhista interfere diretamente vida mulheres
"E o nosso projeto é a Primavera das Mulheres porque não tem projeto de desenvolvimento sem que as mulheres sejam centrais, se não houver salário igual para trabalho igual. Não há desenvolvimento se houver a PEC do Teto",esquerda,projeto primavera mulheres porque projeto desenvolvimento mulheres centrais salário igual trabalho igual desenvolvimento pec teto
"A nossa campanha representa as candidaturas das mulheres, porque somos o time das brasileiras. Porque temos um projeto de país que liberta as mulheres e o povo brasileiro",esquerda,campanha representa candidaturas mulheres porque time brasileiras porque projeto país liberta mulheres povo brasileiro
Nossa proposta de reforma reduz drasticamente o número de impostos sem aumentar a carga tributária. Vamos cobrar mais de quem ganha mais e menos de quem ganha menos,esquerda,proposta reforma reduz drasticamente número impostos aumentar carga tributária vamos cobrar ganha menos ganha menos
"Nós precisamos rever toda política de segurança pública, investir nas polícias, mas reduzir criminalidade significa investir em educação, ciência e tecnologia",esquerda,precisamos rever toda política segurança pública investir polícias reduzir criminalidade significa investir educação ciência tecnologia
"Não há como gerar emprego sem democracia, não há como matar a fome das pessoas sem democracia, não há como garantir educação de qualidade sem democracia.",esquerda,gerar emprego democracia matar fome pessoas democracia garantir educação qualidade democracia
"Nós vamos nos associar a todos os movimentos sociais, a todos movimentos populares e a todo movimento institucional, seja de que instituição for, para o fortalecimento da democracia no Brasil",esquerda,vamos associar todos movimentos sociais todos movimentos populares todo movimento institucional instituição fortalecimento democracia brasil
Nós queremos cultivar um ambiente de paz com dois focos: trabalho e educação,esquerda,queremos cultivar ambiente paz dois focos trabalho educação
Nós não podemos tentar resolver os problemas do país no autoritarismo e na violência. Democracia deve ser celebrada todo o tempo,esquerda,podemos tentar resolver problemas país autoritarismo violência democracia deve celebrada todo tempo
"Se a mulher cria os filhos sozinha, ela vai receber mais atenção nossa e não menos. Se a avó cria os netos sozinha, ela vai receber mais carinho. Nós não queremos mais intolerância",esquerda,mulher cria filhos sozinha vai receber atenção menos avó cria netos sozinha vai receber carinho queremos intolerância
"Nós nunca deixamos nenhum brasileiro para trás, nem mesmo nossos adversários",esquerda,nunca deixamos nenhum brasileiro trás adversários
Ninguém impede o povo brasileiro. O povo é soberano,esquerda,ninguém impede povo brasileiro povo soberano
É o povo que vai libertar o Brasil de seus algozes,esquerda,povo vai libertar brasil algozes
Quanto menos os pobres pagarem impostos mais eles vão consumir e o empresário vai poder contratar,esquerda,quanto menos pobres pagarem impostos vão consumir empresário vai poder contratar
"A universidade pública mudou completamente, hoje você vai a uma universidade pública e encontra mulheres, encontra negros e encontra trabalhadores",esquerda,universidade pública mudou completamente hoje vai universidade pública encontra mulheres encontra negros encontra trabalhadores
Quando você impõe a mesma alíquota para ricos e pobres você penaliza muito mais o pobre,esquerda,impõe mesma alíquota ricos pobres penaliza pobre
"Todo mundo que promove a violência contra a mulher, contra o negro, contra a população LGBT, nós não apoiamos",esquerda,todo mundo promove violência contra mulher contra negro contra população lgbt apoiamos
Não tem nada mais revolucionário na vida de uma pessoa do que oportunidade: de trabalho e de se educar,esquerda,nada revolucionário vida pessoa oportunidade trabalho educar
"Eu tenho a perspectiva de fazer um governo aberto, que dialogue com a juventude, com as novas formas de governança",esquerda,perspectiva fazer governo aberto dialogue juventude novas formas governança
Nós queremos outras vozes sendo ouvidas para que o brasileiro possa formar sua opinião livremente,esquerda,queremos outras vozes sendo ouvidas brasileiro possa formar opinião livremente
Só a produção gera emprego. Especulação não gera emprego e as pessoas estão vivendo de especulação,esquerda,produção gera emprego especulação gera emprego pessoas vivendo especulação
"Precisamos de uma agenda que não penalize os mais pobres, que não jogue tudo no colo do trabalhador",esquerda,precisamos agenda penalize pobres jogue tudo colo trabalhador
"Nós queremos construir um país de paz e harmonia, voltado para os trabalhadores e trabalhadoras com foco em trabalho e educação",esquerda,queremos construir país paz harmonia voltado trabalhadores trabalhadoras foco trabalho educação
Chamar os pobres para pagar a conta da crise não é razoável,esquerda,chamar pobres pagar conta crise razoável
É importante a vinda das agências internacionais em língua portuguesa. Isso aumenta a diversidade! Quem tem medo de diversidade? Nós não,esquerda,importante vinda agências internacionais língua portuguesa aumenta diversidade medo diversidade
"O que eles querem é que o nosso projeto não volte a Brasília porque nosso projeto significa inclusão, significa geração de renda, significa dignidade aos estudantes. Nós não vamos abrir mão desse projeto",esquerda,querem projeto volte brasília porque projeto significa inclusão significa geração renda significa dignidade estudantes vamos abrir mão desse projeto
"É preciso resgatar o que a gente fazia de bom pelo povo: emprego, educação e oportunidade. É isso o que o povo quer",esquerda,preciso resgatar gente fazia bom povo emprego educação oportunidade povo quer
O Minha Casa Minha Vida está parado e nós precisamos retomar. Obra gera emprego,esquerda,casa vida parado precisamos retomar obra gera emprego
"Com a adesão ao programa, as universidades passaram a contar com volume inédito de recursos para investir na produção de conhecimento. Em troca, ampliaram o número de vagas e criaram cursos noturnos, entre outras ações que ajudaram a reduzir desigualdades sociais históricas.",esquerda,adesão programa universidades passaram contar volume inédito recursos investir produção conhecimento troca ampliaram número vagas criaram cursos noturnos outras ações ajudaram reduzir desigualdades sociais históricas
"Houve um tempo em que as universidades federais não tinham verba para sequer pagar a conta de luz ou comprar papel higiênico. Com a chegada de Lula à Presidência, esse quadro mudou.",esquerda,tempo universidades federais verba sequer pagar conta luz comprar papel higiênico chegada lula presidência quadro mudou
"Quem desmatar vai pagar imposto progressivo até reflorestar. Não precisamos de desmatamento para produção agropecuária, a área destinada a isso já atende à demanda nacional e internacional",esquerda,desmatar vai pagar imposto progressivo reflorestar precisamos desmatamento produção agropecuária área destinada atende demanda nacional internacional
"Nós temos que retomar investimentos em infraestrutura. Precisamos gerar emprego, diminuindo o IR a zero para quem ganha até 5 salários mínimos, fazendo o mercado de consumo aquecer e, assim, gerar empregos",esquerda,retomar investimentos infraestrutura precisamos gerar emprego diminuindo ir zero ganha salários mínimos fazendo mercado consumo aquecer assim gerar empregos
"Muitas vezes, o jovem do interior não entra em uma universidade ou Instituto Federal porque não consegue se manter na capital. Se a universidade está perto, o jovem vai. O Estado precisa oferecer a oportunidade",esquerda,muitas vezes jovem interior entra universidade instituto federal porque consegue manter capital universidade perto jovem vai estado precisa oferecer oportunidade
O bilionário não paga imposto no Brasil. Só tem dois países no mundo que não cobram imposto de quem recebe dividendos e o Brasil é um deles. Precisamos rever isso.,esquerda,bilionário paga imposto brasil dois países mundo cobram imposto recebe dividendos brasil precisamos rever
Quando uma pessoa pobre tem oportunidade ela impacta a vida da comunidade inteira. O papel do governo é criar as condições.,esquerda,pessoa pobre oportunidade impacta vida comunidade inteira papel governo criar condições
As pesquisas mostram um desalento na população brasileira e muitos até desistindo da busca por um emprego formal. Mas nós já provamos ser possível gerar empregos melhorando inclusive as condições de trabalho.,esquerda,pesquisas mostram desalento população brasileira muitos desistindo busca emprego formal provamos possível gerar empregos melhorando inclusive condições trabalho
A democracia significa direitos iguais de todos e todas. A fome e a pobreza voltaram ao Brasil e isso o preocupa,esquerda,democracia significa direitos iguais todos todas fome pobreza voltaram brasil preocupa
Sou da geração que lutou contra a ditadura e reconquistou a democracia. Nós estamos reunidos aqui hoje com os partidos da resistência,esquerda,geração lutou contra ditadura reconquistou democracia reunidos aqui hoje partidos resistência
"Agora Bolsonaro amplia o desastre iniciado pelos golpistas, ao esvaziar o MCMV. Enquanto brinca no twitter, disseminando intolerância, radicaliza a agenda neoliberal e joga a economia no fundo do poço. Quem nega a milhões de pessoas o acesso a um lar, não é a favor da família",esquerda,agora bolsonaro amplia desastre iniciado golpistas esvaziar mcmv enquanto brinca twitter disseminando intolerância radicaliza agenda neoliberal joga economia fundo poço nega milhões pessoas acesso lar favor família
"As ""fake news""dos bolsominions continuam. Esclareço que o decreto que assinei em 2016 tinha como objetivo básico ajudar as vítimas da tragédia de Mariana a receber o dinheiro do FGTS. Equiparava o rompimento de barragens a desastres naturais apenas para efeito de saque do FGTS.",esquerda,fake newsdos bolsominions continuam esclareço decreto assinei objetivo básico ajudar vítimas tragédia mariana receber dinheiro fgts equiparava rompimento barragens desastres naturais apenas efeito saque fgts
"Desde que assumiu, o governo Bolsonaro atrasa o pagamento das construtoras, sobretudo as de pequeno e médio porte. A dívida já chega a R$ 450 milhões e as obras começam a parar em todo o país, principalmente para a Faixa 1, que beneficia famílias com renda de até R$ 1.800,00",esquerda,desde assumiu governo bolsonaro atrasa pagamento construtoras sobretudo pequeno médio porte dívida chega r milhões obras começam parar todo país principalmente faixa beneficia famílias renda r
"Maior programa habitacional da história, o Minha Casa Minha Vida foi lançado em 2009 no Governo Lula e sua maior execução ocorreu no meu governo. Responsável pela contratação de mais de 5,5 milhões de moradias, 74% já entregues, o MCMV completa 10 anos ameaçado de extinção",esquerda,maior programa habitacional história casa vida lançado governo lula maior execução ocorreu governo responsável contratação milhões moradias entregues mcmv completa anos ameaçado extinção
"Os 2 deputados tumultuam para impedir a comissão de funcionar e querem destituir Beatriz, que foi eleita com 90 mil votos e representa a classe dos professores de Minas. Mas o machismo e o autoritarismo não irão prevalecer. Basta de covardia e abuso contra as mulheres!",esquerda,deputados tumultuam impedir comissão funcionar querem destituir beatriz eleita mil votos representa classe professores minas machismo autoritarismo irão prevalecer basta covardia abuso contra mulheres
"As construtoras informam que, com a paralisação das obras, 50 mil trabalhadores serão demitidos em 10 dias. No meu governo, o programa chegou a empregar 3,4 milhões de pessoas e foi responsável por 2/3 do mercado da construção civil, um dos mais dinâmicos da economia",esquerda,construtoras informam paralisação obras mil trabalhadores demitidos dias governo programa chegou empregar milhões pessoas responsável mercado construção civil dinâmicos economia
"O MCMV vem sendo desvirtuado desde o golpe de 2016, quando reduziram a contratação de moradias para famílias da Faixa 1. Nos governos do PT, 50% das obras eram destinadas a essas pessoas. Com Temer, as contratações para da Faixa 1 foram reduzidas para absurdos 12%",esquerda,mcmv vem sendo desvirtuado desde golpe reduziram contratação moradias famílias faixa governos pt obras destinadas pessoas temer contratações faixa reduzidas absurdos
"O governo Bolsonaro põe em risco a própria existência do MCMV, por descaso e falta de compromisso com as famílias brasileiras que mais precisam da casa própria para criar seus filhos e filhas em segurança. Não precisam de armas de fogo, mas da proteção de um lar",esquerda,governo bolsonaro põe risco própria existência mcmv descaso falta compromisso famílias brasileiras precisam casa própria criar filhos filhas segurança precisam armas fogo proteção lar
"A reforma da previdência apresentada é 1 afronta. E impõe pesadas perdas aos mais pobres. Os + prejudicados são os que ganham menos, os que têm expectativa de vida + baixa, entram no mercado + cedo e em profissões que exigem + esforço físico",esquerda,reforma previdência apresentada afronta impõe pesadas perdas pobres prejudicados ganham menos têm expectativa vida baixa entram mercado cedo profissões exigem esforço físico
