texto,label,texto_limpo
"This can be turned around.  The Austrians who should feel guilty about
 their actions during WWII, but don't, justify their anti-semetism by making
 every Israeli action into an atrocity.  The Austrians, Germans and other
 Europeans have extensive trading relations with the Arab block; being 
 pro-Arab is good for business.  I don't think that ethics has a thing to
 do about it.",1,turned around austrians feel guilty actions wwii dont justify anti semetism making every israeli action atrocity austrians germans europeans extensive trading relations arab block pro arab good business dont think ethics thing
"# 
# |> 
# |> |> |>    First, my above statement doesnot say that ""the existence of israeli citizens
# |> |> |>    in the WB revoke their right of life"" but it says ""the israeli occupation
# |> |> |>    of the WB revoke the right of life for some/most its citizens - basically
# |> |> |>    revokes the right of for its military men"". Clearly, occupation is an
# |> |> |>    undeclared war; during war, attacks against military targets are fully legitimate. 
# |> 
# |> I'd like you to tell me, in your own words who the military are, wrt Israel then.
# |> In uniform, or not? On duty, or off-duty? Soldier to be, or not?
# |> (That is, since it's compulsory one might regard any Israeli as a
# |> legit target using that definition)
# 
# in uniform or not ? doesnot make a difference if the person is in army.
# On duty, or off-duty? doesnot matter if the army man was on duty or on a
# vacation week.
# Soldier to be, or not? sure i meant only military men.

  Just trying to get this clear, so please bear with me.  As far as
  I can tell, you're proposing the following rules of engagement
  between Israel and the Palestinean resistance.  Please feel
  revise this preliminary draft as necessary:

  1) Israeli military personnel are fair game at any time, in uniform
     or out, on duty or off.  In practice, since any male or female
     Israeli of military age (18-?) may be off-duty military, all but
     young children are acceptable targets.  Since the existence of
     Israel constitutes indication of hostile intent, no further
     provocation is required.

  2) To avoid inpermissable violations of the rights of non-combatant
     Palestineans, Israeli forces must not engage Palestineans
     without positive identification as military personnel, clear
     indication of aggressive intent, and a clear field of fire.

    a) Positive identification may be assured by either checking for
       Palestinean military uniform, by posession of exclusively
       military armament (ie, T78 MBTs or MiG-29 aircraft), or
       self-identification (either verbal or documentary).  Note
       that dual-use military/civilian weaponry such as hand grenades,
       AK-47 rifles, and RPG launchers do not constitute positive
       military identification and require closer inspection such
       as document checks.

    b) Aggressive intent (as distinct from merely 'hostile' intent,
       which is the normal condition) may be assured by not less
       than three rounds of incoming fire separated by intervals
       of not less than ten seconds between rounds.  Note that a
       single burst of automatic-weapon fire counds as one round,
       as does a volley of rocket fire from more than one source.
       As noted above, dual-use weaponry may NOT be assumed to
       originate from military personnel, and thus do not justify
       armed response.

    c) A clear field of fire can be guaranteed by making a positive
       military identification of all personnel in the target area of
       the weapons to be used.  Note that aggressive intent need not
       be proven for all possible targets.  Thus, if IAF aircraft
       are attacked by a SAM crew it is not necessary to check the
       papers of each crew member so long as none are obviously
       civilians (as indicated, for instance, by the posession of
       uniquely civilian weaponry such as stones, axes, and Molotov
       coctails.)  Since it is often difficult for IAF elements to
       land and make the necessary checks, ground forces should
       first screen prospective strike areas before AGM fire.
       For ACM purposes, a cockpit-to-cockpit pass within 5 meters
       is usually sufficient for this purpose, but may be repeated
       if necessary.",1,first statement doesnot say existence israeli citizens wb revoke right life says israeli occupation wb revoke right life citizens basically revokes right military men clearly occupation undeclared war war attacks military targets fully legitimate id like tell words military wrt israel uniform duty duty soldier since compulsory one might regard israeli legit target using definition uniform doesnot make difference person army duty duty doesnot matter army man duty vacation week soldier sure meant military men trying get clear please bear far tell youre proposing following rules engagement israel palestinean resistance please feel revise preliminary draft necessary israeli military personnel fair game time uniform duty practice since male female israeli military age may duty military young children acceptable targets since existence israel constitutes indication hostile intent provocation required avoid inpermissable violations rights non combatant palestineans israeli forces must engage palestineans without positive identification military personnel clear indication aggressive intent clear field fire positive identification may assured either checking palestinean military uniform posession exclusively military armament ie mbts mig aircraft self identification either verbal documentary note dual use military civilian weaponry hand grenades ak rifles rpg launchers constitute positive military identification require closer inspection document checks b aggressive intent distinct merely hostile intent normal condition may assured less three rounds incoming fire separated intervals less ten seconds rounds note single burst automatic weapon fire counds one round volley rocket fire one source noted dual use weaponry may assumed originate military personnel thus justify armed response c clear field fire guaranteed making positive military identification personnel target area weapons used note aggressive intent need proven possible targets thus iaf aircraft attacked sam crew necessary check papers crew member long none obviously civilians indicated instance posession uniquely civilian weaponry stones axes molotov coctails since often difficult iaf elements land make necessary checks ground forces first screen prospective strike areas agm fire acm purposes cockpit cockpit pass within meters usually sufficient purpose may repeated necessary
"Evidence given for her prostitute status, besides the admittedly 
questionable claim of the man on trial included:

1. Prior employment in a number of massage parlors, with women who
claimed that she worked as a prostitute;

2. Walking around a truck stop at 4:00 AM wearing a lace miniskirt,
a halter top, and no underwear of any sort;

3. Not having a purse or other I.D. with her.

Not enough to convict her, but enough to create reasonable doubt
whether a rape actually took place, or theft of services.

Are you just ignorant, or lying again?


The accounts on the evening news indicated that they claimed self-
defense, and the judge agreed that they were so operating.",0,evidence given prostitute status besides admittedly questionable claim man trial included prior employment number massage parlors women claimed worked prostitute walking around truck stop wearing lace miniskirt halter top underwear sort purse id enough convict enough create reasonable doubt whether rape actually took place theft services ignorant lying accounts evening news indicated claimed self defense judge agreed operating
"Aviation Week March 15 1993 p.48

""the CBO estimates that matching the capability of 100 C-17s would
require 70 C-5s at a total cost of $14.4 billion. This option is still
more than $10 billion cheaper than completing the C-17 program, which
the CBO estimates will cost $24.7 billion.""

Sorry, I was nine billion off. The C-5s would be ten billion cheaper.
Well, California voted overwhelmingly for change, right?
The argument to continue military programs just to support jobs is
a poor one. It's kept quite a few bases open that should have been closed
years ago, wasting billions of taxes.",0,aviation week march p cbo estimates matching capability c would require c total cost billion option still billion cheaper completing c program cbo estimates cost billion sorry nine billion c would ten billion cheaper well california voted overwhelmingly change right argument continue military programs support jobs poor one kept quite bases open closed years ago wasting billions taxes
"That has not been demonstrated.  Had he come to trial, there was a very real
possibility that Koresh would have gotten an acquittal on grounds of self-
defense.  All survivors of the debacle have sworn that the BATF shot first.


They ""rang the doorbell"" using a concussion grenade!  And if the bloody
warrants were ""legal"" then why were they _sealed_ after the fight started?
And if Koresh had declared himself a ""private state"" and was just daring the
gov't to go in, then why did he surrender last year to a local sheriff who
served a warrant _for_his_arrest_ (as opposed to the BATF search warrant,
which did not include arrest unless violations were found) by just calling
him up to tell him and then going out to collect him with his squad car?
That doesn't sound like a dictator to me, it sounds like someone who knows
he has a court battle.  Things might have gone very differently if the BATF
_had_ ""rung the doorbell"".


This is stupid.  That is no paranoid assertion, it is testamony from surviving
witnesses, and the BATF _has_ no tanks, nor am I aware of either the BATF _or_
the FBI using any until yesterday.  When they use maximum force they do just
what they did that first day that got four officers killed.


""Underarmed""?  You flabberghast me, they were loaded for bear and every
picture shows them wearing bullet-proof vests!  They were using concussion
grenades and full-auto weapons, what was missing low-yield tac-nukes?  This
is a transparent attempt to retcon a justification for the ridiculous amount
of force used, both initially and yesterday.  You should be ashamed.


They _had_ a sure-fire method: keep them bottled up and talk them to death or
surrender without giving him justification for some looney-tune religious
stunt.

Phil, I've been reading your postings for months and I'm convinced that you
will back anything, no matter how damaging it may be to yours or anyone
else's rights if you think it will hurt people you don't like.  It's people
with that attitude that set up the preconditions for the Holocaust, a process
that is in place _now_ in this country, even if the tattered, pitiful remains
of the Constitution is slowing its progress.  This isn't a Libertarian issue,
others may argue that line, but from a strictly Constitutional view of a
democratic gov't, what the FBI and BATF did was wrong, wrong, wrong, even if
their _reasons_ for trying to arrest Koresh were 100% right.  _Anything_ that
leads to the deaths of 17 children, if nothing else touches your stoney
heart, is _wrong_ no matter who pushed the button.  For God's sake, man, get
your morality back.

Larry Smith (smith@ctron.com)  No, I don't speak for Cabletron.  Need you ask?",0,demonstrated come trial real possibility koresh would gotten acquittal grounds self defense survivors debacle sworn batf shot first rang doorbell using concussion grenade bloody warrants legal sealed fight started koresh declared private state daring govt go surrender last year local sheriff served warrant arrest opposed batf search warrant include arrest unless violations found calling tell going collect squad car doesnt sound like dictator sounds like someone knows court battle things might gone differently batf rung doorbell stupid paranoid assertion testamony surviving witnesses batf tanks aware either batf fbi using yesterday use maximum force first day got four officers killed underarmed flabberghast loaded bear every picture shows wearing bullet proof vests using concussion grenades full auto weapons missing low yield tac nukes transparent attempt retcon justification ridiculous amount force used initially yesterday ashamed sure fire method keep bottled talk death surrender without giving justification looney tune religious stunt phil ive reading postings months im convinced back anything matter damaging may anyone elses rights think hurt people dont like people attitude set preconditions holocaust process place country even tattered pitiful remains constitution slowing progress isnt libertarian issue others may argue line strictly constitutional view democratic govt fbi batf wrong wrong wrong even reasons trying arrest koresh right anything leads deaths children nothing else touches stoney heart wrong matter pushed button gods sake man get morality back larry smith smithctroncom dont speak cabletron need ask
"I have to say I think this is the first time there has
been something posted that opposed me without making personal
insults. Congradulations tim. I think the other people answered
you on most of the factual parts(esp. about the internal
conflicts policy). 
	Israel very often gets away with more
than most other nations (Due to U.S. vetos). While I am not
familiar with every instance I know that the reason Saudi
Arabia was not condemned for killig the pilgrims was that the
pilgrims were iranian. Yes, the UN is biased but mostly in
favor of the US and its allies (Including Israel, Saudi Arabia
and Pakistan) and against ""Outlaw"" countries like iran and more
recently Iraq. Far be it from me to support the repressive
governments there but I think they get more slack than Israel
for things they do ""wrong"". Again the reason some condemnations
don't occur lies in the race or country of the victims. The
gassed Iraqi kurds got associated with Iran in the war and
since Iran was perceived as worse than Iraq no condemnation
resulted. The palestinians killed by arab countries involved
another case of who cares. It seems that until very recently no
one cared about how many palestinians died anywhere (including
in Israel and the occupied territories).
	Again I appreciate the lack of personal insults.",1,say think first time something posted opposed without making personal insults congradulations tim think people answered factual partsesp internal conflicts policy israel often gets away nations due us vetos familiar every instance know reason saudi arabia condemned killig pilgrims pilgrims iranian yes un biased mostly favor us allies including israel saudi arabia pakistan outlaw countries like iran recently iraq far support repressive governments think get slack israel things wrong reason condemnations dont occur lies race country victims gassed iraqi kurds got associated iran war since iran perceived worse iraq condemnation resulted palestinians killed arab countries involved another case cares seems recently one cared many palestinians died anywhere including israel occupied territories appreciate lack personal insults
"It is very encouraging that a number of people took so interest in my posting.I recieved a couple of letters too,some has debated the statement that events in Bosnia are unprecedented in the history of the modern world.Those who contest this statement present the figures of the World War II.However we must keep in mind that it was a World War and no country had the POWER to stop it,today is the matter not of the POWER but of the WILL.It
seems to be that what we lack is the will.
Second point of difference (which makes it different from the holocast(sp?) ) is that at that time international community
didnot have enough muscle to prevent the unfortunate event,
today inspite of all the might,the international community is not just standing neutral but has placed an arms embargo which
is to the obvious disadvantage of the weeker side and therefore to the advantage of the bully.Hence indirecltly and possibly
unintentionally, mankind has sided with the killers.And this,I think is unprecedented in the history of the modern world.",1,encouraging number people took interest postingi recieved couple letters toosome debated statement events bosnia unprecedented history modern worldthose contest statement present figures world war iihowever must keep mind world war country power stop ittoday matter power willit seems lack second point difference makes different holocastsp time international community didnot enough muscle prevent unfortunate event today inspite mightthe international community standing neutral placed arms embargo obvious disadvantage weeker side therefore advantage bullyhence indirecltly possibly unintentionally mankind sided killersand thisi think unprecedented history modern world
"If you want info claiming that blacks were brought to earth 60 trillion
years ago by Aliens from the plante Shabazz, I can send you literature from
the Nation of Islam (Farrakhan's group) who believe this.

If you want info claiming that the Holocaust never happened, I can send you
info from IHR (Institute for Historical Review - David Irving's group), or
just read Dan Gannon's posts on alt.revisionism.

I just wanted to put Steve's post in with the company that it deserves.",1,want info claiming blacks brought earth trillion years ago aliens plante shabazz send literature nation islam farrakhans group believe want info claiming holocaust never happened send info ihr institute historical review david irvings group read dan gannons posts altrevisionism wanted put steves post company deserves
"Cite one of these conflicting statutes.  You keep making
these assertions, but you haven't supported any of them yet.
I am speaking of statutes that conflict with the definition
Larry posted.

Why did you delete the code that Larry posted?

Also, the Model Penal Code made perfect sense to me.  Were you,
perhaps, confused by it?

Also, I am still looking for your definition.  The one you used
clearly indicates that a fetus is not a human being.


Circular arguments are usually very consistent.



Again, your desire for consistency disappears when it does not suit
your needs.  The principle of protecting life is abandoned based
on ""action versus inaction.""  Not much of a principle.  Suddenly
you recognize that the claim on bodily resources is dependent
on circumstances other than this principle of life.  That's
a very conevnient principle you have there, Matt.",0,cite one conflicting statutes keep making assertions havent supported yet speaking statutes conflict definition larry posted delete code larry posted also model penal code made perfect sense perhaps confused also still looking definition one used clearly indicates fetus human circular arguments usually consistent desire consistency disappears suit needs principle protecting life abandoned based action versus inaction much principle suddenly recognize claim bodily resources dependent circumstances principle life thats conevnient principle matt
"From Israeline 4/16

Two Arabs Killed and Eight IDF Soldiers Wounded in West Bank Car
Bomb Explosion
 
Israel Defense Forces Radio, GALEI ZAHAL, reports today that a car
bomb explosion in the West Bank today killed two Palestinians and
wounded eight IDF soldiers. The blast is believed to be the work of
a suicide bomber. Radio reports said a car packed with butane gas
exploded between two parked buses, one belonging to the IDF and the
other civilian. Both busses went up in flames. The blast killed an
Arab man who worked at a nearby snack bar in the Mehola settlement.
An Israel Radio report stated that the other man who was killed may
have been the one who set off the bomb. According to officials at
the Haemek Hospital in Afula, the eight IDF soldiers injured in the
blast suffered light to moderate injuries.



The Arab that was killed was a probably from the Mossad so it is not count 
as a murder.


Naftaly


-----",1,israeline two arabs killed eight idf soldiers wounded west bank car bomb explosion israel defense forces radio galei zahal reports today car bomb explosion west bank today killed two palestinians wounded eight idf soldiers blast believed work suicide bomber radio reports said car packed butane gas exploded two parked buses one belonging idf civilian busses went flames blast killed arab man worked nearby snack bar mehola settlement israel radio report stated man killed may one set bomb according officials haemek hospital afula eight idf soldiers injured blast suffered light moderate injuries arab killed probably mossad count murder naftaly
"Freedom of speech does not mean that others are compelled to give one
the means to speak publicly.  Some systems have regulations
prohibiting the dissemination of racist and bigoted messages from
accounts they issue.

Apparently, that's not the case with virginia.edu, since you are still
posting.",1,freedom speech mean others compelled give one means speak publicly systems regulations prohibiting dissemination racist bigoted messages accounts issue apparently thats case virginiaedu since still posting
"In my postings I have made a proposal for comments and discussion.
Those who don't want to discuss its merits and drawbacks are not forced to
do so.

However I would make anybody who incites others to harm me or harass
in a personal manner, legally responsible for their deeds. I cannot
accept and will not accept threats to my personal integrity and I
urge anybody who opposes terror to refrain from direct or indriect
threats.

PS: My proposal has nothing to do with Nazi eugenics. It has to do with
the search for peace which would enable justice. I don't consider that
justice is done, when non-Jews who fled or were expelled in 1948/1967
are not permitted to return to their homeland. This can at best be called
pragmatism, a nice word for legitimizing the rule of the strong. It can
never be called justice. And peace without justice will never be peace.
It is my conviction that the situation in which a state, through the
law, attempts to discourage mixed marriages (as Israel does), is not
normal. Such a state resembles more Nazi Germany and South Africa than
Western democracies, such as the United States, in which Jews are free to
marry whom they wish and do so in the thousands. My proposal may have
drawbacks but it is meant to force anybody to anything, just to
compensate for a certain time mixed couples for the hardships tehy
endure in a society which disapproves of intermarriage.When the day
will come and Israel will become a truly civil and decmoractic society,
in which the state is not concerned with the religious or ethnic
affiliation of its constituency, such a Fund would not be needed any
more. I don't mind if Jews wish to marry Jews and keep their
traditions, why not ? But this is not the affairs of a state. Western
democracy clearly separates these domains and I am certain that
most
American Jews enjoy this fact and would not love to live in a state termed
Christian State and to have their Green cards stamped with a mark JEW.

I would ask those who are genuinely interested in an exchange of views
and personal experiencces to refrain from emotional, infantile
outbursts which might leed readers to infer that Jews who respect
Judaism are uncivilized. Such behaviour is not good for Judaism.",1,postings made proposal comments discussion dont want discuss merits drawbacks forced however would make anybody incites others harm harass personal manner legally responsible deeds cannot accept accept threats personal integrity urge anybody opposes terror refrain direct indriect threats ps proposal nothing nazi eugenics search peace would enable justice dont consider justice done non jews fled expelled permitted return homeland best called pragmatism nice word legitimizing rule strong never called justice peace without justice never peace conviction situation state law attempts discourage mixed marriages israel normal state resembles nazi germany south africa western democracies united states jews free marry wish thousands proposal may drawbacks meant force anybody anything compensate certain time mixed couples hardships tehy endure society disapproves intermarriagewhen day come israel become truly civil decmoractic society state concerned religious ethnic affiliation constituency fund would needed dont mind jews wish marry jews keep traditions affairs state western democracy clearly separates domains certain american jews enjoy fact would love live state termed christian state green cards stamped mark jew would ask genuinely interested exchange views personal experiencces refrain emotional infantile outbursts might leed readers infer jews respect judaism uncivilized behaviour good judaism
"s,

This country is hardly ruined. In fact, it is booming compared to after the
1980 election.

This whole ""USA has gone to hell and Reagan/Bush caused it"", is not only lame,
pathetic, and old....... it's wrong.

Under Reagan/Bush the economy grew by 1.1 trillion dollars.  This is more than 
the entire economy of Germany, a ""kind, gentle"" country, in many peoples' 
books.  What a joke.",0,country hardly ruined fact booming compared election whole usa gone hell reagan bush caused lame pathetic old wrong reagan bush economy grew trillion dollars entire economy germany kind gentle country many peoples books joke
"Lebanese resistance forces detonated a bomb under an Israeli occupation
   patrol in Lebanese territory two days ago. Three soldiers were killed and
   two wounded. In ""retaliation"", Israeli and Israeli-backed forces wounded
   8 civilians by bombarding several Lebanese villages. Ironically, the Israeli
   government justifies its occupation in Lebanon by claiming that it is 
   necessary to prevent such bombardments of Israeli villages!!

   Congratulations to the brave men of the Lebanese resistance! With every
   Israeli son that you place in the grave you are underlining the moral
   bankruptcy of Israel's occupation and drawing attention to the Israeli
   government's policy of reckless disregard for civilian life.

   Brad Hernlem (hernlem@chess.ncsu.EDU)

Very nice. Three people are murdered, and Bradly is overjoyed. When I
hear about deaths in the middle east, be it Jewish or Arab deaths, I
feel sadness, and only hope that soon this all stops. Apparently, my
view point is not acceptable to people like you Bradly.

Hernlem, you disgust me.",1,lebanese resistance forces detonated bomb israeli occupation patrol lebanese territory two days ago three soldiers killed two wounded retaliation israeli israeli backed forces wounded civilians bombarding several lebanese villages ironically israeli government justifies occupation lebanon claiming necessary prevent bombardments israeli villages congratulations brave men lebanese resistance every israeli son place grave underlining moral bankruptcy israels occupation drawing attention israeli governments policy reckless disregard civilian life brad hernlem hernlemchessncsuedu nice three people murdered bradly overjoyed hear deaths middle east jewish arab deaths feel sadness hope soon stops apparently view point acceptable people like bradly hernlem disgust
